,file_id,emotion,origin
0,ae2e1c07-4ad7-4bc5-bdac-d3dcf0c8673b.wav,fear,crema
1,08c8ea7c-7f81-41fb-8dfa-eaff9d3c292b.wav,fear,crema
2,f28d06ce-1929-40c4-8c40-7a7671d8c0ab.wav,sadness,crema
3,8934caea-8409-4034-ae41-fa8552e2c3d6.wav,disgust,crema
4,d53575a9-dd20-45c8-a45f-a08e2ad93b9e.wav,neutral,crema
5,252b88d1-c85b-445d-9179-1f75c8fc6582.wav,sadness,crema
6,df7a483a-a2f4-46ea-8e3d-64f6e56f5e3f.wav,sadness,crema
7,34dcccdc-0201-4fa4-ad9b-d426bd2e70aa.wav,neutral,crema
8,823f0a76-7285-410c-ac12-13404c4da929.wav,sadness,crema
9,647e8ed9-b22f-480a-892f-5ac8eaab1297.wav,neutral,crema
10,090597ca-5b98-47b8-a377-d91e596d1152.wav,angry,crema
11,6a0be152-2ab3-4184-bf3d-4e7a2c0db201.wav,happy,crema
12,732ba730-c024-4514-95a1-cf1b1ca25341.wav,sadness,crema
13,8cd8af4f-130a-44fc-b59a-2585835ab27a.wav,fear,crema
14,c1023829-5bc1-4860-a606-750849056c09.wav,happy,crema
15,36a167f4-22b8-4751-a55c-c8608a567a5e.wav,fear,crema
16,ace8b51c-764e-4548-bed0-00909c261b0b.wav,fear,crema
17,ffac67e6-8be1-4a85-910a-477f4b0ba62e.wav,happy,crema
18,7326e378-55b8-4d8e-b1cc-2de74e610a3d.wav,happy,crema
19,1d536e4c-8550-48fd-bfed-0549c4fa3547.wav,sadness,crema
20,6534cc6c-a558-4673-a0b0-448cdd081b21.wav,fear,crema
21,b453aec8-c16b-429c-82c1-f861ba02e64f.wav,neutral,crema
22,a000328f-c20a-424a-a673-da6f6a08a9cd.wav,angry,crema
23,57768df0-768a-4cd7-90f7-da613a766325.wav,fear,crema
24,7ef22293-3959-4241-aa8d-7be5cd731788.wav,fear,crema
25,50918aea-747f-4c63-9097-7b3908ceaa05.wav,happy,crema
26,0c72a20a-d558-4a0f-a7d4-4909435be460.wav,sadness,crema
27,df02e15a-e492-4faf-a2f6-fbc84a14eca9.wav,fear,crema
28,3204556b-3e0d-4e6d-992c-cf6c7b9361e7.wav,fear,crema
29,f95e08a8-33d3-4a03-b7bc-55e8432ef0f4.wav,happy,crema
30,87cc6094-1404-41cb-b7a0-228f70211f09.wav,sadness,crema
31,b094adfa-1142-4404-89c5-fe9c54eddebf.wav,angry,crema
32,218c7d82-57b3-42ed-b85f-faf2000264a6.wav,fear,crema
33,bf1c121b-6be0-4048-81b8-d02bdd88bd54.wav,happy,crema
34,567d28c1-04fb-4fd4-aec7-cc7f99f44afc.wav,neutral,crema
35,e23e391b-f089-4e9d-871b-b688a2fe5afc.wav,angry,crema
36,008c6968-0aa9-4ce9-b151-d67077958356.wav,angry,crema
37,0decc617-6bf9-43d6-ae10-294a2c4dcefd.wav,angry,crema
38,dc08b2e5-7633-4fbf-a1b8-27598e6e3327.wav,angry,crema
39,a12cc4e1-c512-484c-8f11-774008285690.wav,fear,crema
40,a56e604b-9db7-4417-bffc-cfa4e828ced2.wav,fear,crema
41,98dfe660-dc11-499b-b8f4-40b1ad081d72.wav,happy,crema
42,72223800-b408-4a57-9453-7ab1afe47580.wav,neutral,crema
43,3aebd2d8-f2be-4901-916d-60eb239470eb.wav,disgust,crema
44,d17f749b-43a7-46ee-ac9e-2488425bf79a.wav,happy,crema
45,347ef021-1cbe-44df-a027-8ad791a6bee9.wav,fear,crema
46,f2953269-4871-46a3-a583-0d6b475c7eec.wav,happy,crema
47,75cfd284-07a2-4e13-975f-9bcefe0fb007.wav,disgust,crema
48,e721f217-a140-4fff-9457-6c617bd46d6c.wav,fear,crema
49,5db51e5d-9bdf-40dc-a760-5f609ecfc2c3.wav,angry,crema
50,22fa60f2-52a0-47ba-a15d-982e28d0d8fd.wav,disgust,crema
51,9c6a7adb-f314-4b4a-a5d3-cc83bed233bb.wav,fear,crema
52,8c5801ad-76c3-4a53-9cfc-043724977b3c.wav,happy,crema
53,45659239-92e1-4673-a724-e7b2d599a42f.wav,happy,crema
54,ad05be00-3ba3-4525-a522-64a3ba62cf21.wav,sadness,crema
55,cc9d683d-c178-4cf8-a089-b1b505caf28f.wav,happy,crema
56,42d14e02-aa53-4eeb-8851-9ce879c365db.wav,sadness,crema
